Quem é conhecido como o 'Poeta do Samba'? (1),Cartola,Noel Rosa,Zeca Pagodinho,Martinho da Vila,Arlindo Cruz,A,2
Quem canta a música 'Trem das Onze'? (2),Cartola,Adoniran Barbosa,Paulinho da Viola,João Nogueira,Martinho da Vila,B,2
Qual cantor é conhecido como o 'Rei do Baião'? (3),Luiz Gonzaga,Dominguinhos,Jackson do Pandeiro,Chico César,Fagner,A,2
Quem é a cantora da música 'Envolver'? (4),Ludmilla,Ivete Sangalo,Anitta,Pabllo Vittar,Marília Mendonça,C,2
Qual grupo é famoso pelo hit 'Pelados em Santos'? (5),Titãs,Mamonas Assassinas,Paralamas do Sucesso,Skank,RPM,B,2
Quem é o autor da música 'Construção'? (6),Caetano Veloso,Chico Buarque,Gilberto Gil,Djavan,Milton Nascimento,B,2
Qual estilo é característico de João Gilberto? (7),Samba,Axé,Bossa Nova,Forró,Choro,C,2
Qual é o gênero musical da música 'Ai Se Eu Te Pego'? (8),Samba,Forró,Sertanejo,Axé,Funk,C,2
Quem foi parceiro musical de Tom Jobim? (9),João Gilberto,Caetano Veloso,Chico Buarque,Vinicius de Moraes,Gal Costa,D,2
Qual desses é um famoso festival de música no Brasil? (10),Tomorrowland,Lollapalooza,Rock in Rio,Woodstock,Coachella,C,2
Qual é o nome da famosa música de Geraldo Vandré contra a ditadura? (11),Alegria,O Mundo é um Moinho,Pra Não Dizer que Não Falei das Flores,Cálice,Apesar de Você,C,2
Quem canta 'O Bêbado e a Equilibrista'? (12),Chico Buarque,Gal Costa,Elis Regina,Maria Rita,Vanessa da Mata,C,2
Qual desses artistas é um dos ícones do sertanejo universitário? (13),Zezé Di Camargo,Chitãozinho,Luan Santana,Leonardo,Daniel,C,2
Qual banda canta 'Garota Nacional'? (14),Skank,Jota Quest,Capital Inicial,Titãs,Os Paralamas,A,2
Quem compôs a música 'Asa Branca' com Luiz Gonzaga? (15),Humberto Teixeira,Chico Buarque,Tom Jobim,Dominguinhos,Gilberto Gil,A,2
Qual é o estilo musical da banda Legião Urbana? (16),MPB,Pop Rock,Sertanejo,Axé,Samba,B,2
Quem canta 'Flor de Lis'? (17),Djavan,Caetano Veloso,Gilberto Gil,Chico Buarque,Milton Nascimento,A,2
Quem é conhecido como o 'Pai do Rock Brasileiro'? (18),Rita Lee,Raul Seixas,Cazuza,Roberto Carlos,Tim Maia,B,2
Quem é famosa por cantar 'Velha Infância' nos Tribalistas? (19),Ivete Sangalo,Maria Gadú,Adriana Calcanhotto,Marisa Monte,Ana Carolina,D,2
Qual instrumento é característico no chorinho? (20),Violino,Guitarra,Pandeiro,Flauta,Berimbau,C,2
"Qual é o nome da famosa música de Cazuza que diz ""O tempo não para""? (21)",Exagerado,Ideologia,O Tempo Nao Para,Cidade Maravilhosa,Codinome Beija-Flor,C,3
"Quem é o compositor da clássica canção ""Romaria""? (22)",Djavan,Milton Nascimento,Ricardo Arjona,Renato Teixeira,Fagner,D,4
Qual cantor é conhecido como o 'Rei do Baião'? (23),Luiz Gonzaga,Dominguinhos,Jackson do Pandeiro,Chico César,Fagner,A,2
Quem é a cantora da música 'Envolver'? (24),Ludmilla,Ivete Sangalo,Anitta,Pabllo Vittar,Marília Mendonça,C,2
Qual grupo é famoso pelo hit 'Pelados em Santos'? (25),Titãs,Mamonas Assassinas,Paralamas do Sucesso,Skank,RPM,B,2
Quem é o autor da música 'Construção'? (26),Caetano Veloso,Chico Buarque,Gilberto Gil,Djavan,Milton Nascimento,B,2
Qual estilo é característico de João Gilberto? (27),Samba,Axé,Bossa Nova,Forró,Choro,C,2
Qual é o gênero musical da música 'Ai Se Eu Te Pego'? (28),Samba,Forró,Sertanejo,Axé,Funk,C,2
Quem foi parceiro musical de Tom Jobim? (29),João Gilberto,Caetano Veloso,Chico Buarque,Vinicius de Moraes,Gal Costa,D,2
Qual desses é um famoso festival de música no Brasil? (30),Tomorrowland,Lollapalooza,Rock in Rio,Woodstock,Coachella,C,2
Qual cantora é famosa pelo hit 'Beleza Rara' no Axé? (31),Ivete Sangalo,Daniela Mercury,Banda Eva,Claudia Leitte,Margareth Menezes,C,2
Quem canta 'O Bêbado e a Equilibrista'? (32),Chico Buarque,Gal Costa,Elis Regina,Maria Rita,Vanessa da Mata,C,2
Qual desses artistas é um dos ícones do sertanejo universitário? (33),Zezé Di Camargo,Chitãozinho,Luan Santana,Leonardo,Daniel,C,2
Qual banda canta 'Garota Nacional'? (34),Skank,Jota Quest,Capital Inicial,Titãs,Os Paralamas,A,2
Quem compôs a música 'Asa Branca' com Luiz Gonzaga? (35),Humberto Teixeira,Chico Buarque,Tom Jobim,Dominguinhos,Gilberto Gil,A,2
Qual cantor é conhecido pela música 'Metamorfose Ambulante'? (36),Raul Seixas,Cazuza,Zé Ramalho,Lobão,Ney Matogrosso,A,2
Quem canta 'Flor de Lis'? (37),Djavan,Caetano Veloso,Gilberto Gil,Chico Buarque,Milton Nascimento,A,2
Quem é conhecido como o 'Pai do Rock Brasileiro'? (38),Rita Lee,Raul Seixas,Cazuza,Roberto Carlos,Tim Maia,B,2
Quem é famosa por cantar 'Velha Infância' nos Tribalistas? (39),Ivete Sangalo,Maria Gadú,Adriana Calcanhotto,Marisa Monte,Ana Carolina,D,2
Qual instrumento é característico no chorinho? (40),Violino,Guitarra,Pandeiro,Flauta,Berimbau,C,2
Qual banda é responsável pelo sucesso 'Tempo Perdido'? (41),Legião Urbana,Barão Vermelho,Paralamas do Sucesso,Os Paralamas,Raimundos,A,1
Quem canta o sucesso 'Gostava Tanto de Você'? (42),Tim Maia,Roberto Carlos,Raul Seixas,Wanderléa,Elis Regina,B,2
Qual cantor é conhecido como o 'Rei do Baião'? (43),Luiz Gonzaga,Dominguinhos,Jackson do Pandeiro,Chico César,Fagner,A,2
Quem é a cantora da música 'Envolver'? (44),Ludmilla,Ivete Sangalo,Anitta,Pabllo Vittar,Marília Mendonça,C,2
Qual grupo é famoso pelo hit 'Pelados em Santos'? (45),Titãs,Mamonas Assassinas,Paralamas do Sucesso,Skank,RPM,B,2
Quem é o autor da música 'Construção'? (46),Caetano Veloso,Chico Buarque,Gilberto Gil,Djavan,Milton Nascimento,B,2
Qual estilo é característico de João Gilberto? (47),Samba,Axé,Bossa Nova,Forró,Choro,C,2
Qual é o gênero musical da música 'Ai Se Eu Te Pego'? (48),Samba,Forró,Sertanejo,Axé,Funk,C,2
Quem foi parceiro musical de Tom Jobim? (49),João Gilberto,Caetano Veloso,Chico Buarque,Vinicius de Moraes,Gal Costa,D,2
Qual desses é um famoso festival de música no Brasil? (50),Tomorrowland,Lollapalooza,Rock in Rio,Woodstock,Coachella,C,2
Qual cantor ficou conhecido como o 'Rei do Soul Brasileiro'? (51),Tim Maia,"Ed Motta,",Tony Tornado,Wilson Simonal,Jorge Ben Jor,A,2
Quem canta 'O Bêbado e a Equilibrista'? (52),Chico Buarque,Gal Costa,Elis Regina,Maria Rita,Vanessa da Mata,C,2
Qual desses artistas é um dos ícones do sertanejo universitário? (53),Zezé Di Camargo,Chitãozinho,Luan Santana,Leonardo,Daniel,C,2
Qual banda canta 'Garota Nacional'? (54),Skank,Jota Quest,Capital Inicial,Titãs,Os Paralamas,A,2
Quem compôs a música 'Asa Branca' com Luiz Gonzaga? (55),Humberto Teixeira,Chico Buarque,Tom Jobim,Dominguinhos,Gilberto Gil,A,2
Qual é o estilo musical da banda Legião Urbana? (56),MPB,Pop Rock,Sertanejo,Axé,Samba,B,2
Quem canta 'Flor de Lis'? (57),Djavan,Caetano Veloso,Gilberto Gil,Chico Buarque,Milton Nascimento,A,2
Quem é conhecido como o 'Pai do Rock Brasileiro'? (58),Rita Lee,Raul Seixas,Cazuza,Roberto Carlos,Tim Maia,B,2
Quem é famosa por cantar 'Velha Infância' nos Tribalistas? (59),Ivete Sangalo,Maria Gadú,Adriana Calcanhotto,Marisa Monte,Ana Carolina,D,2
Qual instrumento é característico no chorinho? (60),Violino,Guitarra,Pandeiro,Flauta,Berimbau,C,2
Qual cantora é famosa pela música 'Me Adora'? (61),Marisa Monte,Elza Soares,Maria Bethânia,Ivete Sangalo,Pitty,E,2
Qual é o estilo musical da banda O Rappa? (62),Axé,Samba,Reggae/Rock,Pagode,Funk,C,2
"Quem canta o hit 'Fácil', sucesso nos anos 2000? (63) ",Natiruts,Skank,Jota Quest,Ivete Sangalo,Capital Inicial,C,2
Quem é conhecido pela música 'Malandragem Dá Um Tempo'? (64),Bezerra da Silva,Zeca Pagodinho,Dudu Nobre,Jorge Aragão,Arlindo Cruz,A,2
Quem canta 'Tempo Perdido'? (65),Cazuza,Capital Inicial,Renato Russo,Paralamas do Sucesso,Titãs,C,2
Qual dessas cantoras participou do grupo 'Doce Encontro'? (66),Ivete Sangalo,Simone,Perlla,Nega Gizza,Nenhuma,E,2
Quem canta 'Você Não Me Ensinou a Te Esquecer'? (67),Zeca Baleiro,Lenine,Caetano Veloso,Fábio Jr.,Fernando Mendes,A,2
Quem canta 'País Tropical'? (68),Gilberto Gil,Caetano Veloso,Jorge Ben Jor,Chico César,Milton Nascimento,C,2
Quem é o cantor da música 'Lanterna dos Afogados'? (69),Herbert Vianna,Nando Reis,Cazuza,Renato Russo,Chico Science,A,2
Qual banda fez sucesso com 'Anna Júlia'? (70),Los Hermanos,Skank,Titãs,Paralamas do Sucesso,CPM 22,A,2
Quem canta 'Tô Nem Aí'? (71),Kelly Key,Luka,Sandy,Ludmilla,Anitta,B,2
Quem é a voz da música 'Exagerado'? (72),Renato Russo,Cazuza,Roberto Carlos,Ney Matogrosso,Lulu Santos,B,2
Quem canta 'Fogo e Paixão'? (73),Amado Batista,Wando,Fábio Jr.,Reginaldo Rossi,José Augusto,B,2
Quem canta 'Gostava Tanto de Você'? (74),Tim Maia,Erasmo Carlos,Wilson Simonal,Martinho da Vila,Cauby Peixoto,A,2
Qual artista popularizou o samba-rock? (75),Jorge Ben Jor,Seu Jorge,Simonal,Erasmo Carlos,Gilberto Gil,A,2
Qual o nome do cantor conhecido como 'Tremendão'? (76),Tim Maia,Roberto Carlos,Erasmo Carlos,Raul Seixas,Cazuza,C,2
Qual dessas bandas é do movimento manguebeat? (77),Nação Zumbi,O Terno,Titãs,Barão Vermelho,Charlie Brown Jr.,A,2
Quem canta 'Vamos Fugir'? (78),Gilberto Gil,Skank,O Rappa,Djavan,Natiruts,A,2
Qual dessas músicas é de Marília Mendonça? (79),Infiel,Evidências,Ciumeira,Te Assumi pro Brasil,Faz Parte da Minha História,A,2
Quem canta 'Milla'? (80),Jorge Ben Jor,Netinho,Beto Barbosa,Banda Eva,Babado Novo,B,2
